BHR4828GL;Appliances > Air & climate control > Fans;R 1 404;R 1 899;;RETAIL;Xiaomi Smart Standing Fan 2;Xiaomi;Product URL;1 Year;;;17;https://www.syntech.co.za/product/xiaomi-mi-smart-standing-fan-2/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR9872EU;Appliances > Air & climate control > Fans;R 1 405;R 1 899;;RETAIL;Xiaomi Smart Desktop Air Circulation Fan;Xiaomi;Product URL;1 Year;;;18;https://www.syntech.co.za/product/xiaomi-smart-desktop-air-circulation-fan/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR9849EU;Appliances > Air & climate control > Fans;R 1 477;R 1 999;;RETAIL;Xiaomi Smart Standing Air Circulation Fan;Xiaomi;Product URL;1 Year;;;19;https://www.syntech.co.za/product/xiaomi-smart-standing-air-circulation-fan/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8846EU;Appliances > Air & climate control > Fans;R 1 478;R 1 999;;RETAIL;Xiaomi Smart Tower Fan 2 EU;Xiaomi;Product URL;1 Year;;;20;https://www.syntech.co.za/product/xiaomi-smart-tower-fan-2/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5856EU;Appliances > Air & climate control > Fans;R 1 998;R 2 699;;RETAIL;Xiaomi Smart Standing Fan 2 Pro;Xiaomi;Product URL;1 Year;;;21;https://www.syntech.co.za/product/xiaomi-smart-standing-fan-2-pro/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
aa4;Appliances > Air & climate control > Heaters;;;;;;;;;;;22;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR8940EU;Appliances > Air & climate control > Heaters;R 688;R 929;;RETAIL;Xiaomi Desktop Heater EU;Xiaomi;Product URL;1 Year;;;23;https://www.syntech.co.za/product/xiaomi-desktop-heater-with-ptc-ceramic-heating/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8228EU;Appliances > Air & climate control > Heaters;R 1 106;R 1 499;;RETAIL;Xiaomi Fan Heater EU;Xiaomi;Product URL;1 Year;;;24;https://www.syntech.co.za/product/xiaomi-fan-heater-2000w-ptc-ceramic-70-oscillation/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR4037GL;Appliances > Air & climate control > Heaters;R 2 219;R 2 999;;RETAIL;Xiaomi Smart Space Heater S EU;Xiaomi;Product URL;1 Year;;;25;https://www.syntech.co.za/product/xiaomi-smart-space-heater-s/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
aa5;Appliances > Air & climate control > Humidifiers & dehumidifiers;;;;;;;;;;;26;;;Motherboards;;;;;;;;;;;;;;;;;;
